SDSS_NAME,RA,DEC,Z,r_mag,Anomaly_Type
100915.11+021739.5,152.31299869396895,2.2943176767332214,2.174,20.81083,Non-BAL CIV Peaker
101141.85+551706.8,152.9244056365528,55.28524850283311,1.8902983665466309,20.040367,Non-BAL CIV Peaker
102052.67+273134.3,155.21947605978207,27.52620282065913,1.9075990915298464,20.925404,Non-BAL CIV Peaker
102237.66+553900.7,155.65693341603364,55.650207047431095,2.1648635864257812,20.866634,Non-BAL CIV Peaker
103227.93+573822.6,158.11638820251642,57.63961738318001,1.971,20.57572,Non-BAL CIV Peaker
103253.69+134914.2,158.22373406102977,13.820624459646092,2.206,20.667086,Non-BAL CIV Peaker
103431.49+310414.7,158.63124171578625,31.07077372452933,2.087164878845215,21.19174,Non-BAL CIV Peaker
103824.94+150248.0,159.60392471960583,15.046675151930383,2.267,20.021856,Non-BAL CIV Peaker
103847.29+483755.7,159.69704925066424,48.63215156895015,2.021,19.755943,Non-BAL CIV Peaker
104059.71+295837.2,160.2488305091607,29.977006787853337,2.054,20.423328,Non-BAL CIV Peaker
104329.56+371058.2,160.87317975019346,37.18284865589188,2.10168719291687,20.627762,Non-BAL CIV Peaker
104815.82+081509.9,162.06594996681372,8.252775922829263,2.45,19.077082,Non-BAL CIV Peaker
104952.14+185002.1,162.46728258757588,18.83392532614996,2.402,20.300243,Non-BAL CIV Peaker
105241.88+540458.5,163.17453402350898,54.08291843179494,2.107172727584839,20.484478,Non-BAL CIV Peaker
110003.13+420553.3,165.01308205340473,42.098144095504985,2.262108325958252,19.908579,Non-BAL CIV Peaker
110248.11+453656.3,165.7004883060646,45.615647390461056,1.956,20.371796,Non-BAL CIV Peaker
110512.55+384526.9,166.3022994342423,38.757479825805675,1.8959529399871824,20.801317,Non-BAL CIV Peaker
110632.29+292314.4,166.634542,29.387356,1.9488,20.260317,Non-BAL CIV Peaker
111130.63+361132.7,167.87764437958572,36.192416835540584,2.312777280807495,20.542486,Non-BAL CIV Peaker
114402.09+013027.5,176.008744,1.507643,1.882794,19.826101,Non-BAL CIV Peaker
114557.93+493509.0,176.49138651946163,49.58584254797192,2.155911684036255,20.649387,Non-BAL CIV Peaker
114623.64+401442.6,176.59853151154076,40.245187927349775,2.245,19.87936,Non-BAL CIV Peaker
114949.41+533027.9,177.4559035546137,53.50776031444545,2.26,20.765392,Non-BAL CIV Peaker
115011.80+163327.4,177.54919345077332,16.557630398396384,2.259,20.14325,Non-BAL CIV Peaker
115641.62+324956.2,179.17343567497937,32.83227968015863,2.37,20.441954,Non-BAL CIV Peaker
115651.19+073651.5,179.2133226252973,7.614317944647631,2.343,20.243473,Non-BAL CIV Peaker
120714.93+574821.2,181.81224542802295,57.80589616980825,1.911118984222412,21.01075,Non-BAL CIV Peaker
120849.94+443302.0,182.20810284022576,44.5505700899418,2.168,20.234837,Non-BAL CIV Peaker
121018.47+564410.6,182.5769869552674,56.73630338105807,1.8890647888183592,20.249023,Non-BAL CIV Peaker
121228.14+382838.9,183.1172813456489,38.47748145060508,2.048768997192383,20.493706,Non-BAL CIV Peaker
121808.22+112831.0,184.53428236476017,11.47528942983908,2.313,21.210566,Non-BAL CIV Peaker
122057.02+403443.9,185.2376208922881,40.57888536162079,2.085,20.649473,Non-BAL CIV Peaker
122533.09+482832.2,186.38787842219617,48.475621419194034,2.045964002609253,20.28149,Non-BAL CIV Peaker
123654.50+304719.5,189.22708783006004,30.788767891970572,2.1522414684295654,20.680962,Non-BAL CIV Peaker
124240.21+374906.3,190.667566382963,37.81843254568349,2.068577289581299,21.167723,Non-BAL CIV Peaker
124647.98+401907.1,191.69992313443308,40.31865615703379,2.085878372192383,19.581532,Non-BAL CIV Peaker
125932.23+642103.2,194.88429721032665,64.35089898852272,2.261,20.243652,Non-BAL CIV Peaker
125958.23+165937.8,194.9926625108472,16.993851157369477,2.311,20.439583,Non-BAL CIV Peaker
130731.40+453743.0,196.88083618664768,45.62862491680932,2.008,20.885166,Non-BAL CIV Peaker
130936.63+422003.5,197.4026501062872,42.334312829699215,2.003892183303833,20.786917,Non-BAL CIV Peaker
131506.99+070916.3,198.77913528268607,7.1545315847744035,2.335,20.605892,Non-BAL CIV Peaker
131632.96+051815.5,199.1373353275074,5.304324824441749,2.389,20.192564,Non-BAL CIV Peaker
132144.99+150524.8,200.43747108104907,15.090236232701074,2.353,19.919136,Non-BAL CIV Peaker
133505.82+084927.9,203.77425380382036,8.824430718040613,1.891,19.335138,Non-BAL CIV Peaker
133729.19+380758.5,204.371636207166,38.1329196871011,2.1189329624176025,20.573292,Non-BAL CIV Peaker
134232.87+232904.9,205.6369725137031,23.484718523872186,2.258,20.35723,Non-BAL CIV Peaker
134905.02+454939.2,207.2709300857555,45.82755833804556,1.922,21.589672,Non-BAL CIV Peaker
134908.99+403520.9,207.28749459595588,40.58916037213923,2.111374855041504,20.08566,Non-BAL CIV Peaker
135205.12+592802.6,208.0213427491447,59.46741106520396,2.0143134593963623,21.263006,Non-BAL CIV Peaker
135724.39-011504.5,209.35166000808704,-1.2512522860293798,2.159,20.187574,Non-BAL CIV Peaker
135813.58+343258.4,209.55659302028812,34.549560074633085,2.266,21.07932,Non-BAL CIV Peaker
135925.65+133724.6,209.8569154074504,13.623515498160025,2.226,21.369778,Non-BAL CIV Peaker
140237.74+562835.3,210.65727045473497,56.476496602072615,2.0437161922454834,20.67636,Non-BAL CIV Peaker
140453.66+630824.1,211.2236129898643,63.14003716379532,2.355,19.943703,Non-BAL CIV Peaker
140841.52+262943.6,212.17301200735992,26.49545544197282,1.885,19.260548,Non-BAL CIV Peaker
140851.92+285633.9,212.21636339415988,28.942762602917707,2.192,20.631945,Non-BAL CIV Peaker
141134.34+412253.9,212.89311192909776,41.38164321264611,2.0226521492004395,20.763906,Non-BAL CIV Peaker
141249.20+440125.8,213.20503682885527,44.02385225356407,2.054,19.843348,Non-BAL CIV Peaker
141249.71+535002.7,213.2071252254559,53.834092219993295,2.335,20.381962,Non-BAL CIV Peaker
141538.08+481039.7,213.90867373035312,48.177694635723675,2.295,20.423265,Non-BAL CIV Peaker
141848.22+373837.3,214.70093822119844,37.6436963784239,2.206,20.649206,Non-BAL CIV Peaker
142158.22+311247.3,215.4925879715012,31.21316240741202,2.302,20.487638,Non-BAL CIV Peaker
142442.74+591955.4,216.17811097991557,59.332069151733194,2.381,20.668638,Non-BAL CIV Peaker
142940.03+333332.1,217.41682868642548,33.558923702487064,2.266,20.841215,Non-BAL CIV Peaker
143246.96+042101.0,218.19568129938867,4.350294717265724,2.411,19.702522,Non-BAL CIV Peaker
143653.37+365014.3,219.2224015537252,36.83731685912212,1.913,19.237196,Non-BAL CIV Peaker
144029.76+581916.1,220.1240093799145,58.321159368151854,1.9153114557266235,21.193031,Non-BAL CIV Peaker
144558.43+184145.5,221.49348450003748,18.695986235961776,2.254,20.687592,Non-BAL CIV Peaker
144921.12+344208.5,222.3380280009196,34.702384758726076,2.1483266353607178,19.832218,Non-BAL CIV Peaker
145148.10+552211.6,222.9504400610577,55.36989776270829,2.206,19.639177,Non-BAL CIV Peaker
145415.58+515602.4,223.56495262266657,51.93402697661816,1.949,20.102343,Non-BAL CIV Peaker
145523.16+431809.7,223.84650199642567,43.302705736571674,1.929410099983215,20.257124,Non-BAL CIV Peaker
145821.23+555355.6,224.588491,55.898799,2.04787,19.386518,Non-BAL CIV Peaker
150106.74-005249.4,225.2781025522787,-0.8804162810904778,2.384,20.032347,Non-BAL CIV Peaker
150454.16+452029.3,226.22570218470756,45.341481471824096,2.318,20.545761,Non-BAL CIV Peaker
150905.85+364135.3,227.27438629483615,36.69316412129408,2.253,20.060259,Non-BAL CIV Peaker
150959.69+102858.2,227.49872926116583,10.482852923875578,2.295,19.571268,Non-BAL CIV Peaker
151635.02+381408.2,229.14593048865575,38.23563308700373,2.438,20.350918,Non-BAL CIV Peaker
151638.46+543436.8,229.1602819505015,54.57690476063598,2.003948211669922,20.654856,Non-BAL CIV Peaker
152041.27+332610.6,230.17198374920144,33.436299486395576,2.196,20.398859,Non-BAL CIV Peaker
152113.98+282057.8,230.30828371336696,28.349411135885074,2.39,21.084486,Non-BAL CIV Peaker
152602.52+525047.0,231.5105371339306,52.84640910094726,2.3635973930358887,20.262613,Non-BAL CIV Peaker
153058.65+403631.8,232.74440495252733,40.608856168317345,2.178,20.566467,Non-BAL CIV Peaker
153919.04+015808.5,234.8293648691372,1.969029223993241,2.431,20.16138,Non-BAL CIV Peaker
154237.02+551719.8,235.6542733875778,55.28884581697191,2.0243523120880127,19.969902,Non-BAL CIV Peaker
154632.97+571157.6,236.6374053954199,57.19934570394939,2.177963972091675,19.950176,Non-BAL CIV Peaker
154826.82+563204.7,237.1117607168212,56.534660639476755,1.9761470556259155,20.892544,Non-BAL CIV Peaker
155045.99+520748.4,237.6916275884684,52.13013781300409,2.233,20.426672,Non-BAL CIV Peaker
155222.47+315158.9,238.09362764676467,31.866368730818355,2.078,20.467333,Non-BAL CIV Peaker
155531.59+523425.6,238.88163230634305,52.57378625123344,1.8982216119766235,19.981007,Non-BAL CIV Peaker
155555.26+530433.1,238.9802617726748,53.0758666066955,2.0855941772460938,20.915203,Non-BAL CIV Peaker
161131.47+610145.6,242.88113958877585,61.02934810195898,2.275,19.090921,Non-BAL CIV Peaker
161216.60+323331.3,243.0691978608214,32.558710684948394,1.990030288696289,20.912447,Non-BAL CIV Peaker
161339.33+312109.9,243.41389128037457,31.352761238585973,1.9075664281845093,20.633768,Non-BAL CIV Peaker
162055.26+585248.7,245.23026675890128,58.88020983447133,2.265,20.809988,Non-BAL CIV Peaker
162617.92+294036.8,246.57469716185815,29.67689133584132,2.337,20.419819,Non-BAL CIV Peaker
163820.89+334410.0,249.58707854240805,33.7361176256287,2.2,20.407635,Non-BAL CIV Peaker
164032.83+382459.5,250.13683203589864,38.41654987682336,2.206,20.565863,Non-BAL CIV Peaker
164200.88+444418.6,250.50366696429305,44.73852403356915,1.920855402946472,19.884691,Non-BAL CIV Peaker
164518.13+150021.7,251.325547480494,15.00603302427496,2.443,20.625801,Non-BAL CIV Peaker
165045.24+483819.4,252.68852449695535,48.638747498500365,1.9584078788757324,21.095066,Non-BAL CIV Peaker
170212.32+400639.0,255.5513661485619,40.110854132442654,2.072,20.286625,Non-BAL CIV Peaker
171135.45+282727.4,257.8977081859474,28.45762297203093,2.282,19.970482,Non-BAL CIV Peaker
171140.36+340919.0,257.918173971064,34.15530043202368,2.0195844173431396,20.463367,Non-BAL CIV Peaker
172345.21+311136.8,260.93840915883175,31.19357772624969,1.904072642326355,20.037128,Non-BAL CIV Peaker
172453.92+353230.5,261.2246681110355,35.5418206349741,1.9698346853256223,20.329714,Non-BAL CIV Peaker
213818.73+042353.0,324.57804556067765,4.398068619238424,2.325,20.68851,Non-BAL CIV Peaker
220052.57+243532.0,330.21906018263905,24.59224961357485,2.0676450729370117,20.834103,Non-BAL CIV Peaker
220321.48+241324.3,330.839541407679,24.22342990334825,2.202,20.559467,Non-BAL CIV Peaker
220829.24+213745.5,332.1218723738823,21.629322916252125,2.0768239498138428,20.557981,Non-BAL CIV Peaker
222130.81+001805.8,335.3783835470834,0.3016227796468957,1.901,21.207531,Non-BAL CIV Peaker
231912.61+035042.2,349.8025652588939,3.8450774296259618,2.0073416233062744,20.047785,Non-BAL CIV Peaker
232206.78+002646.0,350.5282786704164,0.4461268980980377,2.121,20.474949,Non-BAL CIV Peaker
232814.40+043946.6,352.06001726408516,4.66294927216006,2.214,20.056349,Non-BAL CIV Peaker
232958.11-021033.7,352.4921393367306,-2.176028986249351,2.204,20.661638,Non-BAL CIV Peaker
234518.11+164046.3,356.3254618871085,16.679539420909986,2.258,21.538082,Non-BAL CIV Peaker
000321.64+212130.1,0.8401952816357152,21.358386656159,2.454,20.258583,BAL CIV Peaker
001212.10-063445.1,3.050443370558554,-6.57921554212231,2.194,20.175028,BAL CIV Peaker
002513.11+223307.6,6.304635857560299,22.552120438259195,2.248,19.847443,BAL CIV Peaker
002744.54+202325.5,6.935596542936082,20.390435450557018,2.27,20.848778,BAL CIV Peaker
003251.46-075407.0,8.214429689581053,-7.901946069671005,2.357,19.955484,BAL CIV Peaker
003947.88+272731.4,9.949518415324633,27.458724831155124,1.9995388984680176,21.080328,BAL CIV Peaker
003952.08+345531.4,9.96702137702522,34.92540987345531,2.001619338989258,20.594688,BAL CIV Peaker
004602.58+311548.1,11.510755590825624,31.263367751010747,2.0465002059936523,19.81287,BAL CIV Peaker
005601.25+080332.8,14.005223673635612,8.059115681642107,2.348,20.531889,BAL CIV Peaker
010240.19+101224.1,15.667499569167036,10.206694829849894,2.0059778690338135,21.134676,BAL CIV Peaker
010427.23-035233.0,16.11348854583926,-3.875855250987085,2.031334400177002,20.50994,BAL CIV Peaker
010800.01+101827.7,17.000068954597452,10.307721208153213,1.8986941576004028,20.261894,BAL CIV Peaker
012430.15+040350.8,21.125643423328597,4.064113453219741,1.8895939588546753,20.74242,BAL CIV Peaker
012624.77-020633.0,21.603215317430585,-2.1091738625237575,2.2907683849334717,20.825865,BAL CIV Peaker
013635.75+041841.9,24.148961836363583,4.311653367704104,2.204855442047119,19.996237,BAL CIV Peaker
014124.83+332215.1,25.35349358918768,33.37086192221604,2.097034215927124,19.982706,BAL CIV Peaker
015225.83-015028.9,28.10762891182766,-1.8413818857876776,2.185689926147461,20.448215,BAL CIV Peaker
015420.08+210945.5,28.583668145105666,21.16265638643522,2.249647378921509,21.778631,BAL CIV Peaker
020105.15+234359.5,30.271459157816707,23.733203537444776,2.028074026107788,20.786829,BAL CIV Peaker
020230.71-062403.1,30.62798542660468,-6.40086973027547,2.185,20.441212,BAL CIV Peaker
021611.52-024917.6,34.0480068858324,-2.821561134754304,2.173008918762207,20.4943,BAL CIV Peaker
022229.18-053721.1,35.62162059054366,-5.622544973026848,2.122,20.627342,BAL CIV Peaker
022653.86-002023.4,36.72445078682948,-0.3398574995877264,2.44,20.268278,BAL CIV Peaker
022841.60+014752.8,37.173334244781074,1.798017519319826,2.321,19.805613,BAL CIV Peaker
024434.17-033743.1,41.14238610510746,-3.628639333357792,2.0266690254211426,20.568594,BAL CIV Peaker
025956.44-045604.0,44.98520348382686,-4.9344698217328276,2.154,18.187332,BAL CIV Peaker
074219.30+220016.0,115.58043504500056,22.004445595880988,2.143462657928467,20.451683,BAL CIV Peaker
074648.39+254125.1,116.70165357484274,25.6903273909783,2.109999656677246,20.651388,BAL CIV Peaker
075622.15+372106.9,119.09232054981562,37.35193033353739,2.276,21.3728,BAL CIV Peaker
080850.94+263303.2,122.21228864338462,26.550914050678568,2.0832784175872803,20.329283,BAL CIV Peaker
081633.74+354604.3,124.14059625425122,35.76787871721093,2.071516275405884,20.667292,BAL CIV Peaker
083340.73+264506.8,128.41973347562646,26.75189327484457,1.952475666999817,20.571423,BAL CIV Peaker
084159.25+392139.9,130.49690782461755,39.361108133382984,2.209,19.850393,BAL CIV Peaker
084744.85+202529.5,131.93689289076983,20.424879498947323,2.005127429962158,20.394903,BAL CIV Peaker
085940.09+004452.1,134.91707822266338,0.7478314607750927,2.338,20.77867,BAL CIV Peaker
091322.77+492855.0,138.34488208542922,49.48194659419008,2.15891170501709,20.054914,BAL CIV Peaker
091450.01+184244.2,138.70838632117437,18.71229403886644,2.35,20.511526,BAL CIV Peaker
091526.81+400500.7,138.8617111115576,40.083545092059005,2.3207778930664062,20.6266,BAL CIV Peaker
091906.15+394524.3,139.77564870696858,39.75676582289504,1.9439184665679932,19.945171,BAL CIV Peaker
092954.05-012333.7,142.4752494879785,-1.3927120920586515,2.261,20.12519,BAL CIV Peaker
093033.24+284642.0,142.63852350227873,28.77833737991183,2.105503797531128,20.65744,BAL CIV Peaker
093232.08+385055.5,143.1336693911761,38.848771887609225,2.24,19.91527,BAL CIV Peaker
093244.05+383345.0,143.18356670179912,38.56250914749966,1.9504461288452148,20.075071,BAL CIV Peaker
093245.15+331118.6,143.18815800286103,33.188505319979534,1.9254499673843384,20.915302,BAL CIV Peaker
093955.52+520717.6,144.98133487264246,52.12155838695485,2.462,19.915207,BAL CIV Peaker
095238.37+004617.5,148.15988750961418,0.771554189282723,2.236,20.814732,BAL CIV Peaker
095823.15+500017.7,149.59647579985526,50.004941274228,2.363,20.68657,BAL CIV Peaker
100305.64+461906.9,150.77353605791393,46.31858572410974,1.926,20.599625,BAL CIV Peaker
100600.77+460847.7,151.50324647957385,46.14659008797268,1.907,19.94773,BAL CIV Peaker
100759.96+334609.7,151.99985069483313,33.769372498724074,1.996270775794983,20.388279,BAL CIV Peaker
100909.64+644313.6,152.29019935892566,64.72045266638015,2.261,20.271193,BAL CIV Peaker
101851.96+530346.3,154.71650076258888,53.06287872603768,1.992,20.203691,BAL CIV Peaker
101859.31+453853.2,154.7471593348253,45.648129088703406,1.995,19.893091,BAL CIV Peaker
103744.26+560039.5,159.4344476516923,56.010990287082365,2.1893515586853027,20.6316,BAL CIV Peaker
104945.42+090342.4,162.43925629528457,9.061792761777644,2.248,20.626474,BAL CIV Peaker
110814.10+244802.6,167.05877347979873,24.800742304343053,2.465,20.177143,BAL CIV Peaker
111009.91+302019.9,167.5413284490935,30.338871544368647,2.385,20.215252,BAL CIV Peaker
111159.78+090713.6,167.99909540070783,9.12045178551856,2.441,19.430573,BAL CIV Peaker
111411.85+215718.8,168.5494001893022,21.955246700534957,2.385,20.573957,BAL CIV Peaker
111614.26-114135.1,169.059441,-11.693094,2.0836,20.357668,BAL CIV Peaker
112210.00+461450.4,170.54166669844045,46.2473494150154,2.381,20.678097,BAL CIV Peaker
113556.63+401402.2,173.98597115227915,40.23395381939684,2.2,20.854813,BAL CIV Peaker
113714.47+201019.6,174.31032391867444,20.172119775319096,2.447,20.368202,BAL CIV Peaker
114811.94-000826.4,177.04977776767947,-0.1406848926847884,2.217,20.452976,BAL CIV Peaker
115119.93+281523.1,177.83307962017182,28.25643009048086,1.944,20.06864,BAL CIV Peaker
120105.25+144943.4,180.27188273247376,14.82873073759473,2.203,20.270592,BAL CIV Peaker
121153.21+083103.8,182.97173654765692,8.517737012810091,2.353,19.827187,BAL CIV Peaker
121401.43+533815.7,183.5059677751226,53.63771830299165,1.9105567932128904,20.474308,BAL CIV Peaker
122050.95-011116.8,185.21232048943577,-1.1880006128498055,2.354,20.494768,BAL CIV Peaker
122501.15+090248.8,186.25482182742184,9.046895497582751,2.258,20.657625,BAL CIV Peaker
122744.91+553142.7,186.93712498384428,55.52855260150154,2.395,20.307753,BAL CIV Peaker
123837.80+550744.9,189.6575353152427,55.12914108435165,2.157,20.606031,BAL CIV Peaker
123855.29+300526.2,189.73038525480004,30.090638645734007,2.223,20.089094,BAL CIV Peaker
124014.69+191547.3,190.0612470744669,19.2631662193716,2.3,20.608622,BAL CIV Peaker
125135.43+283420.2,192.8976413181115,28.5722833389163,2.463,20.291983,BAL CIV Peaker
125930.79+454002.3,194.8782947644878,45.66731813029707,1.891,20.773247,BAL CIV Peaker
130022.24+650839.8,195.09270771848273,65.14439372242106,2.327,21.062712,BAL CIV Peaker
131314.99+283258.4,198.312460937546,28.549582880724405,2.119,21.464079,BAL CIV Peaker
131412.62+215051.2,198.5525908022871,21.847576782739143,2.273,20.023363,BAL CIV Peaker
131420.30+302632.7,198.58459402253823,30.442427618246676,2.317,21.019997,BAL CIV Peaker
132029.10+293921.2,200.12127506615795,29.655890527287298,2.387,20.301744,BAL CIV Peaker
132031.49+441526.2,200.13124372878224,44.25728802903989,2.3165900707244873,21.126942,BAL CIV Peaker
133836.95+352659.9,204.65398344980497,35.449986381445896,2.3030154705047607,20.165428,BAL CIV Peaker
134913.87+312902.1,207.307809,31.483939,2.323826,19.0849,BAL CIV Peaker
135157.52+531728.1,207.9896801327324,53.29115967761966,2.342,20.408115,BAL CIV Peaker
135530.62+611458.2,208.87761870101332,61.2495000930042,2.367,20.52344,BAL CIV Peaker
140057.32+524421.8,210.23886963264457,52.7394009180016,2.28,20.131155,BAL CIV Peaker
140248.02+633633.3,210.700122388434,63.60926345752154,2.224,20.466326,BAL CIV Peaker
141417.30+570346.2,213.57208511894748,57.062834179536,2.167001247406006,20.77137,BAL CIV Peaker
141839.74+085556.6,214.66560654673043,8.932395003618154,2.171,19.927065,BAL CIV Peaker
142004.91+444617.0,215.02049471284607,44.771398481263034,2.168381690979004,20.918907,BAL CIV Peaker
142637.41+371000.4,216.6559010376078,37.16678979933006,1.9629429578781128,19.977798,BAL CIV Peaker
142827.15+365656.0,217.11312860157676,36.94889737047726,1.9806952476501465,20.19858,BAL CIV Peaker
144151.46+222847.5,220.46442455533187,22.47987335952279,2.26,20.341526,BAL CIV Peaker
144812.86+065315.4,222.0535854011405,6.887625964132171,2.368,20.512949,BAL CIV Peaker
144936.34+492618.6,222.40144027216348,49.4385160085003,1.9053564071655271,20.742373,BAL CIV Peaker
145411.76+141001.0,223.54902467012784,14.166958195358491,2.076,19.54461,BAL CIV Peaker
145535.05+443906.2,223.8960522699454,44.65172724010546,1.9640051126480105,20.218927,BAL CIV Peaker
145843.72+292306.9,224.68219418348093,29.385268446501268,2.094,20.305603,BAL CIV Peaker
150608.66+261829.4,226.5361148748861,26.308190335336647,2.359,20.300396,BAL CIV Peaker
150654.83+493924.6,226.72848486848923,49.6568414475152,2.454,20.849798,BAL CIV Peaker
150937.01+401713.7,227.4042272051737,40.28715937398719,2.319,19.171547,BAL CIV Peaker
151350.76+330834.9,228.4615036844992,33.14304283451348,2.252,20.734974,BAL CIV Peaker
151526.88+090444.5,228.86204097522835,9.079030635900674,2.24,20.457634,BAL CIV Peaker
152051.79+285215.4,230.21581917529417,28.8709708050483,2.254,21.539997,BAL CIV Peaker
155628.52+523014.1,239.11885182772252,52.503935196197546,2.379,20.16649,BAL CIV Peaker
155818.13+540017.7,239.5755712788897,54.00492021151553,2.288,19.981035,BAL CIV Peaker
161005.78+432747.2,242.5241118653467,43.46313228107184,1.9585011005401611,20.663773,BAL CIV Peaker
161027.34+403530.9,242.61393784181695,40.59192735516661,1.975732922554016,20.225847,BAL CIV Peaker
162058.05+185620.0,245.2418975164859,18.93888920098551,2.295,20.608461,BAL CIV Peaker
162231.60+420401.7,245.6316828499307,42.06716256976697,2.177933692932129,20.127098,BAL CIV Peaker
